1,0,48
1,0,136
1,0,355
1,0,480
1,0,655
1,0,700
1,0,748
1,1,16
1,1,20
1,1,695
1,1,743
1,2,93
1,3,117
1,3,228
1,3,558
1,3,710
1,4,155
1,4,161
1,4,310
1,4,658
1,5,83
1,5,203
1,6,472
1,6,566
1,6,582
1,7,768
1,8,110
1,9,0
1,9,301
1,9,373
1,9,733
1,11,120
1,12,336
1,13,342
1,13,454
1,13,792
1,14,214
1,14,685
1,15,58
1,15,285
1,16,470
1,16,488
1,16,772
1,17,555
1,18,42
1,18,516
1,19,133
1,19,265
1,19,669
1,20,715
1,22,315
1,22,532
1,23,89
1,23,375
1,23,457
1,24,523
1,24,748
1,25,413
1,25,609
1,25,727
1,26,700
1,26,720
1,27,795
1,28,453
1,28,488
1,28,643
1,29,233
1,29,436
1,29,752
1,29,774
1,30,152
1,30,586
1,30,624
1,31,111
1,32,44
1,32,636
1,33,583
1,35,83
1,35,253
1,35,274
1,35,704
1,36,773
1,37,541
1,38,165
1,38,318
1,38,441
1,38,602
1,39,200
1,39,795
1,40,160
1,41,204
1,41,307
1,42,139
1,42,428
1,42,655
1,42,740
1,45,81
1,45,142
1,45,360
1,45,566
1,46,631
1,47,187
1,47,501
1,48,682
1,49,353
1,49,726
1,50,19
1,50,615
1,52,475
1,52,603
1,53,326
1,53,395
1,53,755
1,54,25
1,55,698
1,57,425
1,57,501
1,58,371
1,58,523
1,58,718
1,59,276
1,59,450
1,60,223
1,60,230
1,60,386
1,60,613
1,62,5
1,62,367
1,62,629
1,63,207
1,64,53
1,64,723
1,65,298
1,66,407
1,66,439
1,66,477
1,68,665
1,69,201
1,69,430
1,69,571
1,70,19
1,70,742
1,70,765
1,71,80
1,72,139
1,72,531
1,72,655
1,73,451
1,73,614
1,74,102
1,74,115
1,74,180
1,74,277
1,74,280
1,75,379
1,75,390
1,76,44
1,76,225
1,79,429
1,79,543
1,79,776
1,81,169
1,81,296
1,81,673
1,82,98
1,82,353
1,82,498
1,83,89
1,85,331
1,85,335
1,85,393
1,86,527
1,86,687
1,87,193
1,87,787
1,88,272
1,88,414
1,88,635
1,89,1
1,89,243
1,89,264
1,89,690
1,91,107
1,91,674
1,92,315
1,92,666
1,92,765
1,95,36
1,95,73
1,95,538
1,95,547
1,97,522
1,97,649
1,99,113
1,99,727
1,100,472
1,101,434
1,101,583
1,102,0
1,102,171
1,102,466
1,103,360
1,103,701
1,104,88
1,104,437
1,105,528
1,105,718
1,106,134
1,107,645
1,110,573
1,112,246
1,113,168
1,113,790
1,114,33
1,115,392
1,115,514
1,115,706
1,116,129
1,116,199
1,116,396
1,116,537
1,116,701
1,118,301
1,120,14
1,120,34
1,121,418
1,121,750
1,121,767
1,122,1
1,122,159
1,122,546
1,124,65
1,124,278
1,124,431
1,124,527
1,124,780
1,126,62
1,126,382
1,126,445
1,126,496
1,126,516
1,127,302
1,127,481
1,127,589
1,128,694
1,129,159
1,130,80
1,130,728
1,132,628
1,133,514
1,134,114
1,134,568
1,134,676
1,135,40
1,135,471
1,136,22
1,136,210
1,136,287
1,136,553
1,137,364
1,137,696
1,138,326
1,139,471
1,139,796
1,140,68
1,140,262
1,141,556
1,143,78
1,143,176
1,143,449
1,143,587
1,144,101
1,144,506
1,145,318
1,145,541
1,146,58
1,146,156
1,146,271
1,147,277
1,148,386
1,149,350
1,149,637
1,150,375
1,150,552
1,150,677
1,151,315
1,152,287
1,152,582
1,153,607
1,154,452
1,154,735
1,155,495
1,156,232
1,156,573
1,157,197
1,158,334
1,158,735
1,159,260
1,159,395
1,159,589
1,160,109
1,160,544
1,162,451
1,162,465
1,163,386
1,163,643
1,165,308
1,165,350
1,165,646
1,166,600
1,167,736
1,168,139
1,168,637
1,168,655
1,169,42
1,170,127
1,170,710
1,172,202
1,172,309
1,173,374
1,173,794
1,174,229
1,174,372
1,175,84
1,175,509
1,175,544
1,176,166
1,176,701
1,177,107
1,177,174
1,177,210
1,177,430
1,177,777
1,181,24
1,182,121
1,182,746
